format,total
Acrobat PDF 1.3 - Portable Document Format,77
Acrobat PDF 1.4 - Portable Document Format,80
Acrobat PDF 1.5 - Portable Document Format,110
Acrobat PDF 1.6 - Portable Document Format,12
Acrobat PDF 1.7 - Portable Document Format,3
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,1
Adobe Illustrator,2
AppleDouble Resource Fork,147
DS_store file (MAC),63
Encapsulated PostScript File Format,87
Exchangeable Image File Format (Compressed),1
JPEG File Interchange Format,59
Microsoft Excel 97 Workbook (xls),28
Microsoft Excel for Windows,2
Microsoft Office Open XML,4
Microsoft Word Document,405
Microsoft Word Document Template,1
Microsoft Word for Windows,14
Portable Network Graphics,2
Quark Xpress Data File,17
Raw JPEG Stream,13
ZIP Format,1
